City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port saint john's,-31.6229,29.5448,22.6,83,0,7.65,ZA,1701454859
83,luebo,-5.35,21.4167,21.29,99,100,0.64,CD,1701454859
84,belokurikha,51.9959,84.9896,-0.25,92,86,1.13,RU,1701454860
85,waterloo,43.4668,-80.5164,3.77,96,100,3.09,CA,1701454621
86,murzuq,25.9155,13.9184,18.44,20,1,2.42,LY,1701454861
87,glyn-neath,51.7475,-3.6183,1.8,83,20,2.29,GB,1701454862
88,puerto ayora,-0.7393,-90.3518,28.98,87,95,4.47,EC,1701454863
89,la'ie,21.6477,-157.9253,22.98,82,62,1.43,US,1701454863
90,iskateley,67.6803,53.1512,-9.43,98,100,1.79,RU,1701454864
91,the pas,53.8251,-101.2541,-6.99,86,100,3.6,CA,1701454864
92,hilo,19.7297,-155.09,23.12,98,100,2.06,US,1701454599
93,vakfikebir,41.0458,39.2764,19.93,59,83,4.19,TR,1701454865
94,arraial do cabo,-22.9661,-42.0278,28.98,78,0,6.69,BR,1701454866
95,pemangkat,1.1667,108.9667,24.77,90,100,4.39,ID,1701454867
96,crucecita,-28.95,-58.9833,38.17,37,29,6.66,AR,1701454867
97,wailua homesteads,22.0669,-159.378,22.24,93,100,2.06,US,1701454868
98,naze,28.3667,129.4833,14.51,64,97,5.45,JP,1701454868
99,margaret river,-33.95,115.0667,16.68,90,86,4.1,AU,1701454869
100,ouargla,31.9493,5.325,19.04,18,75,2.57,DZ,1701454870
101,hondo,32.45,130.2,9.94,60,85,6.42,JP,1701454870
102,port mathurin,-19.6833,63.4167,25.83,83,2,5.85,MU,1701454871
103,invercargill,-46.4,168.35,6.6,90,96,1.62,NZ,1701454872
104,vorgashor,67.5833,63.95,-12.23,91,100,1.41,RU,1701454872
105,qaqortoq,60.7167,-46.0333,-0.15,98,100,1.83,GL,1701454874
106,labuan,5.2767,115.2417,27.2,78,20,1.54,MY,1701454875
107,aasiaat,68.7098,-52.8699,-5.4,85,73,2.07,GL,1701454876
108,keflavik,64.0049,-22.5624,-0.76,74,20,5.66,IS,1701454877
109,ulaangom,49.9811,92.0667,-16.45,93,100,1.75,MN,1701454877
110,wrexham,53.0,-3.0,0.56,94,0,0.51,GB,1701454878
111,siwa oasis,29.2041,25.5195,17.46,38,0,0.88,EG,1701454878
112,zouerate,22.7187,-12.4521,25.02,29,49,3.35,MR,1701454880
113,urangan,-25.3,152.9,24.49,92,51,6.02,AU,1701454880
114,khandyga,62.6667,135.6,-34.48,100,100,0.38,RU,1701454882
115,tazacorte,28.629,-17.9293,21.54,87,20,6.69,ES,1701454885
116,abilene,32.4487,-99.7331,14.41,39,0,2.57,US,1701454888
117,isiro,2.7739,27.616,20.93,92,78,0.41,CD,1701454890
118,sylt-ost,54.8833,8.35,-1.95,93,100,4.63,DE,1701454891
119,touba,8.2833,-7.6833,29.21,51,97,1.86,CI,1701454893
120,lydenburg,-25.0978,30.4597,15.65,81,0,1.32,ZA,1701454894
121,margate,51.3813,1.3862,3.72,67,53,1.34,GB,1701454894
122,chonchi,-42.6128,-73.8092,12.56,43,88,3.5,CL,1701454894
123,uliastay,47.7417,96.8444,-9.05,65,82,3.02,MN,1701454896
124,chibougamau,49.9168,-74.3659,-10.21,73,0,4.12,CA,1701454640
125,sainte-anne,16.2333,-61.3667,31.02,58,20,6.17,GP,1701454897
126,bemidji,47.4736,-94.8803,1.21,62,0,3.09,US,1701454898
127,acarau,-2.8856,-40.12,31.16,59,38,7.71,BR,1701454899
128,polyarnyy,69.1989,33.4478,-13.08,99,99,2.09,RU,1701454899
129,richards bay,-28.783,32.0377,20.77,68,0,5.98,ZA,1701454900
130,west kelowna,49.8625,-119.5833,0.28,79,100,1.54,CA,1701454617
131,mili,6.0815,171.735,28.24,79,100,8.76,MH,1701454901
132,gwadar,25.1216,62.3254,25.38,66,0,3.51,PK,1701454901
133,winnemucca,40.973,-117.7357,3.03,60,75,6.69,US,1701454902
134,breyten,-26.3018,29.987,15.3,67,0,2.54,ZA,1701454902
135,puerto natales,-51.7236,-72.4875,9.25,46,20,12.86,CL,1701454903
136,port macquarie,-31.4333,152.9167,20.5,80,96,2.53,AU,1701454609
137,mount darwin,-16.7725,31.5838,23.24,54,100,2.2,ZW,1701454904
138,nsanje,-16.92,35.262,22.32,79,60,2.42,MW,1701454905
139,mugia,43.1041,-9.2179,12.17,69,22,7.1,ES,1701454905
140,hawaiian paradise park,19.5933,-154.9731,22.8,98,100,2.06,US,1701454906
141,lerwick,60.1545,-1.1494,2.0,66,65,5.96,GB,1701454906
142,dzilam gonzalez,21.2833,-88.9333,33.32,47,68,3.99,MX,1701454907
143,afaahiti,-17.75,-149.2833,27.93,85,52,7.69,PF,1701454907
144,yashkul',46.1711,45.3435,8.64,71,100,8.99,RU,1701454757
145,yellowknife,62.456,-114.3525,-21.36,88,75,3.09,CA,1701454705
146,shenjiamen,29.9576,122.298,8.3,60,85,4.46,CN,1701454908
147,tolanaro,-25.0319,46.9987,21.04,88,75,1.03,MG,1701454909
148,yeniseysk,58.4497,92.1703,-1.7,88,100,4.02,RU,1701454909
149,inari,68.906,27.0288,-14.89,100,97,0.93,FI,1701454910
150,yulee,30.6319,-81.6065,27.75,72,0,5.14,US,1701454911
151,tres arroyos,-38.3739,-60.2798,28.1,39,90,3.6,AR,1701454912
152,karratha,-20.7377,116.8463,24.27,73,1,6.6,AU,1701454912
153,kerikeri,-35.2268,173.9474,15.51,89,100,2.09,NZ,1701454913
154,nadym,65.5333,72.5167,-16.59,97,83,3.59,RU,1701454913
155,stanley,54.868,-1.6985,-1.64,96,0,1.03,GB,1701454914
156,bukama,-9.2,25.85,20.04,99,100,1.41,CD,1701454914
157,agios nikolaos,35.1914,25.7133,18.2,75,17,2.43,GR,1701454915
158,nyurba,63.2842,118.3319,-37.15,100,31,1.79,RU,1701454916
159,nuuk,64.1835,-51.7216,0.34,93,100,6.17,GL,1701454841
160,batang,-6.4846,110.7083,25.03,85,100,4.67,ID,1701454706
161,puerto aysen,-45.4,-72.7,6.73,99,100,2.37,CL,1701454918
162,nuku'alofa,-21.1333,-175.2,26.19,89,40,3.6,TO,1701454918
163,willmar,45.1219,-95.0433,-0.03,69,0,0.0,US,1701454919
164,yarmouth,41.7057,-70.2286,13.41,79,0,6.69,US,1701454920
165,trujillo,-8.116,-79.03,19.98,88,75,5.14,PE,1701454294
166,haikou,20.0458,110.3417,20.07,100,75,5.0,CN,1701454921
167,cidreira,-30.1811,-50.2056,23.88,80,47,6.96,BR,1701454921
168,bim son,20.0781,105.8603,18.45,81,100,2.86,VN,1701454754
169,camana,-16.6228,-72.7111,21.94,70,32,4.73,PE,1701454922
170,joao camara,-5.5375,-35.8197,32.47,38,21,6.05,BR,1701454923
171,choyr,46.3611,108.3611,-13.09,82,2,2.66,MN,1701454924
172,jamestown,42.097,-79.2353,5.77,97,100,3.6,US,1701454680
173,maneromango,-7.1988,38.7848,22.7,93,74,1.63,TZ,1701454925
174,iquique,-20.2208,-70.1431,22.02,68,50,4.87,CL,1701454748
175,kirensk,57.7853,108.1119,-12.24,93,100,3.58,RU,1701454926
176,blythe,33.6103,-114.5964,14.25,54,2,0.0,US,1701454927
177,luderitz,-26.6481,15.1594,18.5,76,86,7.94,NA,1701454928
178,escanaba,45.7453,-87.0646,2.76,69,0,2.06,US,1701454836
179,chhatak,25.0333,91.6667,20.61,73,6,0.9,BD,1701454929
180,punta arenas,-53.15,-70.9167,12.01,46,40,11.32,CL,1701454754
181,ust-nera,64.5667,143.2,-27.49,99,100,1.07,RU,1701454930
182,rongelap,11.1635,166.8941,27.66,73,91,8.09,MH,1701454930
183,buurhakaba,2.8026,44.0781,28.18,47,55,3.91,SO,1701454932
184,udachny,66.4167,112.4,-28.64,75,97,4.72,RU,1701454932
185,simanggang,1.2472,111.4528,24.99,94,100,0.0,MY,1701454933
186,san lorenzo,-25.3333,-57.5333,35.52,53,20,6.26,PY,1701454933
187,brookings,44.3114,-96.7984,-0.46,73,0,2.57,US,1701454752
188,angol,-37.8,-72.7167,20.46,45,98,1.35,CL,1701454935
189,prince rupert,54.3161,-130.3201,6.83,70,100,12.35,CA,1701454664
190,musan-up,42.2261,129.2078,-10.85,77,3,1.9,KP,1701454937
191,longyearbyen,78.2186,15.6401,-10.09,67,0,8.23,SJ,1701454937
192,masterton,-40.9597,175.6575,11.05,91,89,1.5,NZ,1701454938
193,berezovo,63.9381,65.0419,-23.84,100,93,2.27,RU,1701454939
194,namibe,-15.1961,12.1522,22.93,84,66,4.65,AO,1701454939
195,iqaluit,63.7506,-68.5145,-6.15,85,100,7.15,CA,1701454940
196,ogulin,45.2661,15.2286,17.13,49,50,7.72,HR,1701454940
197,lihue,21.9789,-159.3672,22.58,92,100,2.06,US,1701454941
198,petrolina,-9.3986,-40.5008,36.03,23,40,4.12,BR,1701454828
199,jilib,0.4883,42.7854,25.51,77,86,2.12,SO,1701454942
200,praia da vitoria,38.7333,-27.0667,15.98,82,20,5.0,PT,1701454943
201,weno,7.4515,151.8468,24.97,94,100,4.63,FM,1701454944
202,forster,-32.1667,152.5167,20.77,100,100,2.86,AU,1701454944
203,gao,16.6362,1.637,30.21,14,0,4.04,ML,1701454945
204,hastings,50.8552,0.5729,2.18,69,79,5.54,GB,1701454765
205,vilyuchinsk,52.9306,158.4028,-6.85,84,45,5.83,RU,1701454946
206,ta`u,-14.2336,-169.5144,27.74,84,91,8.68,AS,1701454947
207,kolonia town,6.964,158.206,28.0,78,75,3.6,FM,1701454947
208,kuala terengganu,5.3302,103.1408,24.97,94,20,1.03,MY,1701454948
209,corner brook,48.9667,-57.9484,5.09,95,100,4.0,CA,1701454949
210,east london,-33.0153,27.9116,20.52,83,100,13.38,ZA,1701454824
211,ciudad lazaro cardenas,17.9583,-102.2,29.93,58,96,1.12,MX,1701454894
